Individual,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib,Dental Attrition 
S360V0762,3,4,,2,2,1,3,3,2,1,1,1,1,3,2,3,4,2,2,1,3,3,2,2,1,3,3,,,
S430V0965,,1,1,1,1,1,3,,,1,,1,,1,1,4,2,2,3,1,4,3,3,2,1,,,3,4,
S434V0958,1,2,1,1,2,1,,,1,,1,,1,1,1,5,1,1,2,1,4,1,1,2,1,,,,,
S040V0064,1,2,2,1,1,1,2,1,1,,1,,1,1,2,2,5,1,3,1,,,,,,1,,,,
S045V0055,1,,,3,2,1,1,1,1,2,2,1,1,3,3,5,3,3,2,2,5,4,3,3,1,4,5,5,,
S047V0045,,,3,,1,1,2,2,2,1,1,1,1,1,1,3,5,2,2,1,3,5,2,3,1,2,1,,,
S183V0311,2,1,1,1,1,1,2,3,2,1,1,1,1,2,2,5,5,3,1,1,3,5,3,2,1,2,3,,,
S243V0381,2,1,1,1,2,1,3,1,,2,,1,,1,,4,2,3,2,2,,,,,,5,,,,
S294V0487,2,2,3,2,1,1,2,4,3,4,5,3,3,2,2,2,2,3,2,1,3,4,3,3,2,5,5,5,,
S301V0571,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,3,1,3,3,1,2,2,3,2,2,4,5,,4,
S302V0509,2,1,1,2,2,1,3,2,,1,,1,,1,1,2,2,3,2,1,3,3,3,2,2,5,,,,
S319V0669,5,1,1,4,3,2,4,1,2,1,1,1,2,1,1,4,2,3,3,3,5,1,3,3,1,3,4,,,
S355V0748,1,,,2,2,1,3,,,2,2,2,2,1,1,2,4,3,3,1,3,4,3,2,1,,,,,
S358V0763,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,3,2,1,3,4,3,2,1,5,5,,,
S369V0886,5,1,1,2,2,1,4,,,1,1,,,1,1,3,4,3,2,1,3,1,2,2,1,,,,,
S385V0874,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,,,,,,4,5,3,1,2,1,,,,
S390V0831,1,1,1,1,1,1,1,,,,,,,2,2,4,2,3,3,2,3,2,3,2,2,,,,,
S401V0876,1,1,1,1,1,1,1,,,1,,,,1,1,2,5,3,2,1,3,5,3,2,1,,,,,
S405V0882,1,2,1,2,2,1,4,1,1,1,1,1,1,2,2,4,4,3,2,1,4,4,3,2,1,4,4,,,
S420V0936,3,1,1,1,1,1,3,3,,1,,1,,3,4,4,2,2,2,1,4,2,3,2,1,2,,,,
S452V0985,1,1,1,1,1,2,1,1,,1,,1,,2,1,,,,,,5,5,1,1,1,1,,,,
S453V0973,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,3,3,1,3,5,3,3,1,3,3,,,
S466V1010,4,1,1,2,2,2,3,3,1,1,2,3,2,1,1,4,5,1,2,1,3,5,1,3,1,,3,,,
S474V0998,3,5,5,2,2,1,3,2,2,,2,,1,1,1,3,4,3,3,1,,,,,,6,6,,,
S476V1054,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,3,2,1,4,5,2,3,1,4,5,3,,
S088V0094,1,1,1,1,1,1,3,,1,,,,,1,1,4,5,3,3,1,5,5,3,3,3,,4,,,
S101V0131,4,2,1,1,1,1,1,,,,,,,2,2,4,4,3,3,1,4,3,3,2,,,,,,
S110V0213,3,,1,1,1,1,2,,1,,1,,1,2,2,,,,,,3,4,3,1,1,,4,,,
S149V0280,1,2,2,2,1,2,2,,,,,,,3,3,4,5,3,2,1,4,5,2,3,1,,,,,
S153V0435,4,1,1,4,,1,2,4,,1,,3,,4,5,2,3,3,2,1,3,3,3,1,1,5,,,,
S157V0470,1,,,,1,1,1,1,,3,,3,,1,1,4,5,3,2,2,4,5,3,2,2,,,,,
S162V0316,2,2,2,1,1,1,2,,,,,,,3,3,5,5,3,3,2,5,5,3,3,3,,,,5,
S170V0660,4,3,3,3,3,1,1,2,2,2,2,2,2,4,4,4,5,3,3,3,4,5,3,3,3,4,,,,
S202V0284,1,,,1,1,1,,,,,,,,2,2,3,4,3,3,3,4,4,3,2,3,,,,,
S207V0334,2,3,4,1,1,3,2,1,1,2,2,3,3,1,2,5,4,3,3,3,4,3,3,3,2,6,6,,,
S309V0616,1,1,1,1,1,1,2,1,,1,1,1,,1,2,5,4,3,3,3,5,5,3,3,2,4,3,,,
S338V0721,1,2,1,1,1,1,1,,,,,,,2,3,4,5,3,1,2,2,5,3,2,1,,,,,
S339V0728,1,,1,2,1,1,5,1,2,1,1,1,1,1,1,3,4,3,3,1,5,5,3,3,2,6,6,,,
S345V0757,1,1,1,1,1,2,3,,,,,,,1,1,4,4,3,2,1,3,4,3,3,2,,,,,
S392V0829,4,1,1,1,1,1,2,1,1,1,2,1,1,3,1,5,5,3,3,1,5,5,3,3,1,6,6,,,
S422V0962,5,1,1,1,1,1,2,,,,,,,1,2,5,4,3,3,1,4,5,3,2,1,,,,,
S461V0990,1,,1,1,2,,2,,,,,,,1,1,4,4,2,3,2,5,4,3,3,2,,,,,
S468V1009,2,1,1,1,1,1,4,,2,1,,1,,1,1,4,4,3,3,2,4,4,3,3,1,,,,,
S097V0156,1,1,2,1,1,1,1,5,,1,1,2,2,2,2,5,4,3,3,2,5,4,3,3,2,2,,,,
S126V0184,,,3,5,5,2,,,,,,,,2,2,5,5,3,2,2,4,4,3,3,3,,,,,
S137V0491,5,1,,2,,1,2,3,,,,4,,3,3,4,5,3,3,3,5,5,3,3,2,,,,,
S155V1509,2,1,1,1,1,1,1,,2,,1,,1,3,2,5,4,3,3,3,4,5,3,3,2,,,,,
S331V0735,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,5,5,3,3,1,5,5,3,3,2,5,5,,,
S344V0730,4,2,1,1,1,2,4,,,,,,,1,1,4,5,3,2,3,,,,,,,,,,
S359V0760,4,5,5,5,4,3,4,,,,,,,3,3,3,1,3,2,1,3,4,2,2,1,,,,,
S379V0851,5,1,1,2,2,,5,5,5,5,5,1,1,3,3,5,1,2,3,1,4,1,2,2,1,1,1,,,
S404V1139,3,3,3,5,5,4,4,5,4,5,5,3,3,5,5,4,3,1,1,1,3,3,1,2,2,3,,4,5,
S464V1012,3,2,1,5,4,5,4,,3,,5,,2,,5,,,,,,1,4,2,2,1,,,,,
S092V0124,3,2,2,2,1,4,5,,2,,,,3,4,3,3,4,3,2,1,3,5,2,1,1,,3,,,
S158V0427,4,4,5,4,4,5,5,4,4,4,4,5,5,5,5,2,2,3,3,1,3,3,3,3,2,5,5,,,
S226V0282,5,5,5,3,3,1,5,4,4,4,4,4,4,5,5,4,1,2,1,1,3,4,2,3,1,4,4,,,
S236V0335,5,1,1,3,2,4,5,5,5,4,4,3,4,4,3,2,4,3,2,2,3,4,1,3,1,1,1,,,
S249V0394,5,4,4,4,4,3,2,,,,,,,5,5,3,3,3,2,3,2,3,2,2,1,,,,,
S250V0402,4,4,4,5,5,4,,4,4,1,1,5,5,,5,,,,,,,,,,,5,5,,,
S251V0624,4,2,2,4,4,2,4,4,4,4,4,5,5,4,4,4,4,3,2,1,5,3,2,3,1,5,5,,,
S260V1503,1,5,5,,,4,,,5,,3,,3,4,4,3,5,3,2,1,3,5,3,3,1,,1,3,,
S290V0472,5,4,4,1,1,4,5,,,,,,,5,5,4,5,2,2,1,4,5,2,2,1,,,2,,
S317V0649,5,5,5,2,2,,5,,,,,,,3,3,4,3,3,2,1,4,2,3,2,1,,,,,
S324V0671,2,2,1,1,1,3,3,,5,,4,,4,4,4,4,4,3,3,1,2,3,3,2,1,,2,,6,
S325V0676,5,1,2,1,1,4,5,,5,,4,,4,4,5,,,,,,4,4,3,2,1,,2,,,
